timeStamp,Material,TxPower,RTT,RSSI
503614,DEMO,70,1,-31
503819,DEMO,58,1,-34
504027,DEMO,50,3,-36
504232,DEMO,32,2,-42
504438,DEMO,26,1,-36
504644,DEMO,18,2,-36
504850,DEMO,6,1,-49
505057,DEMO,76,2,-30
505253,DEMO,70,2,-32
505461,DEMO,58,3,-35
505667,DEMO,50,2,-37
505872,DEMO,32,1,-42
506078,DEMO,26,2,-36
506283,DEMO,18,1,-36
506490,DEMO,6,3,-49
506593,DEMO,76,2,-30
506694,DEMO,70,2,-32
506879,DEMO,58,1,-35
507106,DEMO,50,1,-38
507291,DEMO,32,1,-42
507506,DEMO,26,1,-37
507713,DEMO,18,3,-36
507919,DEMO,6,1,-49
508074,DEMO,76,1,-49
508332,DEMO,70,1,-31
508537,DEMO,58,2,-35
508732,DEMO,50,1,-37
508938,DEMO,32,2,-42
509143,DEMO,26,1,-36
509349,DEMO,18,2,-36
509557,DEMO,6,3,-49
509764,DEMO,76,1,-30
509970,DEMO,70,1,-33
510176,DEMO,58,2,-36
510382,DEMO,50,2,-36
510567,DEMO,32,1,-42
510783,DEMO,26,1,-36
510993,DEMO,18,7,-35
511200,DEMO,6,2,-49
511334,DEMO,76,2,-49
511604,DEMO,70,3,-33
511810,DEMO,58,1,-35
512016,DEMO,50,2,-37
512222,DEMO,32,2,-42
512427,DEMO,26,2,-35
512633,DEMO,18,1,-36
512838,DEMO,6,1,-49
513039,DEMO,76,5,-30
513245,DEMO,70,1,-31
513455,DEMO,58,6,-35
513640,DEMO,50,2,-37
513860,DEMO,32,5,-43
514068,DEMO,26,4,-37
514274,DEMO,18,1,-36
514458,DEMO,6,1,-48
514677,DEMO,76,2,-30
514882,DEMO,70,2,-31
515088,DEMO,58,1,-35
515293,DEMO,50,1,-37
515499,DEMO,32,1,-42
515706,DEMO,26,3,-36
515902,DEMO,18,2,-37
516108,DEMO,6,2,-49
516330,DEMO,76,5,-30
516525,DEMO,70,1,-32
516710,DEMO,58,2,-35
516926,DEMO,50,1,-38
517132,DEMO,32,1,-42
517339,DEMO,26,3,-35
517545,DEMO,18,2,-36
517754,DEMO,6,5,-49
517859,DEMO,76,4,-30
518148,DEMO,70,1,-32
518241,DEMO,58,3,-32
518365,DEMO,50,3,-37
518573,DEMO,32,4,-42
518778,DEMO,26,2,-36
518965,DEMO,18,3,-36
519170,DEMO,6,1,-49
519285,DEMO,76,2,-30
519387,DEMO,70,2,-32
519593,DEMO,58,2,-35
519798,DEMO,50,1,-38
520004,DEMO,32,2,-42
520213,DEMO,26,5,-36
520398,DEMO,18,1,-36
520616,DEMO,6,3,-49
520823,DEMO,76,2,-30
521029,DEMO,70,1,-32
521234,DEMO,58,1,-36
521439,DEMO,50,1,-36
521645,DEMO,32,2,-42
521840,DEMO,26,1,-36
522046,DEMO,18,2,-36
522251,DEMO,6,1,-49
522354,DEMO,76,1,-30
522456,DEMO,70,2,-31
522661,DEMO,58,2,-34
522871,DEMO,50,5,-36
523076,DEMO,32,1,-42
523283,DEMO,26,3,-36
523490,DEMO,18,2,-35
523676,DEMO,6,3,-48
523790,DEMO,76,2,-30
523892,DEMO,70,3,-32
524098,DEMO,58,2,-36
524304,DEMO,50,2,-36
524512,DEMO,32,4,-42
524707,DEMO,26,1,-36
524915,DEMO,18,3,-35
525120,DEMO,6,1,-49
525327,DEMO,76,1,-30
525533,DEMO,70,1,-32
525739,DEMO,58,1,-35
525944,DEMO,50,1,-36
526150,DEMO,32,1,-41
526355,DEMO,26,1,-36
526540,DEMO,18,1,-36
526756,DEMO,6,2,-48
526862,DEMO,76,5,-29
526965,DEMO,70,3,-31
527170,DEMO,58,1,-34
527253,DEMO,50,4,-34
527337,DEMO,32,5,-37
527564,DEMO,26,1,-37
527791,DEMO,18,2,-36
527976,DEMO,6,1,-48
528195,DEMO,76,3,-30
528409,DEMO,70,10,-32
528604,DEMO,58,2,-35
528811,DEMO,50,3,-36
529017,DEMO,32,2,-42
529222,DEMO,26,1,-36
529418,DEMO,18,2,-36
