timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
86975,Empty box with air,50,1,-34,1,,,,,,,
87181,Empty box with air,32,1,-39,1,,,,,,,
87402,Empty box with air,26,7,-33,1,,,,,,,
87588,Empty box with air,18,3,-33,1,,,,,,,
87794,Empty box with air,6,2,-46,1,,,,,,,
87961,Empty box with air,76,2,-46,1,,,,,,,
88210,Empty box with air,70,3,-28,1,,,,,,,
88407,Empty box with air,58,3,-32,1,,,,,,,
88614,Empty box with air,50,3,-34,1,,,,,,,
88820,Empty box with air,32,2,-38,1,,,,,,,
89032,Empty box with air,26,8,-34,1,,,,,,,
89227,Empty box with air,18,1,-34,1,,,,,,,
89433,Empty box with air,6,2,-45,1,,,,,,,
89630,Empty box with air,76,1,-26,1,,,,,,,
89847,Empty box with air,70,3,-28,1,,,,,,,
90043,Empty box with air,58,1,-30,1,,,,,,,
90248,Empty box with air,50,2,-34,1,,,,,,,
90454,Empty box with air,32,2,-37,1,,,,,,,
90660,Empty box with air,26,1,-33,1,,,,,,,
90867,Empty box with air,18,3,-33,1,,,,,,,
91072,Empty box with air,6,1,-44,1,,,,,,,
91207,Empty box with air,76,1,-44,1,,,,,,,
91487,Empty box with air,70,3,-28,1,,,,,,,
91683,Empty box with air,58,1,-30,1,,,,,,,
91889,Empty box with air,50,1,-33,1,,,,,,,
92094,Empty box with air,32,1,-37,1,,,,,,,
92300,Empty box with air,26,1,-32,1,,,,,,,
92506,Empty box with air,18,2,-32,1,,,,,,,
92711,Empty box with air,6,1,-45,1,,,,,,,
92921,Empty box with air,76,4,-27,1,,,,,,,
93116,Empty box with air,70,1,-28,1,,,,,,,
93332,Empty box with air,58,1,-30,1,,,,,,,
93527,Empty box with air,50,2,-33,1,,,,,,,
93733,Empty box with air,32,1,-36,1,,,,,,,
93938,Empty box with air,26,1,-32,1,,,,,,,
94143,Empty box with air,18,1,-32,1,,,,,,,
94349,Empty box with air,6,2,-44,1,,,,,,,
94443,Empty box with air,76,3,-44,1,,,,,,,
94555,Empty box with air,70,1,-28,1,,,,,,,
94763,Empty box with air,58,4,-30,1,,,,,,,
94948,Empty box with air,50,1,-33,1,,,,,,,
95154,Empty box with air,32,2,-37,1,,,,,,,
95370,Empty box with air,26,1,-32,1,,,,,,,
95461,Empty box with air,18,2,-32,1,,,,,,,
95562,Empty box with air,6,1,-45,1,,,,,,,
95706,Empty box with air,76,1,-45,1,,,,,,,
95985,Empty box with air,70,1,-27,1,,,,,,,
96076,Empty box with air,58,2,-31,1,,,,,,,
96188,Empty box with air,50,1,-33,1,,,,,,,
96401,Empty box with air,32,9,-38,1,,,,,,,
96492,Empty box with air,26,1,-32,1,,,,,,,
96616,Empty box with air,18,15,-32,1,,,,,,,
96801,Empty box with air,6,1,-44,1,,,,,,,
96905,Empty box with air,76,12,-26,1,,,,,,,
97024,Empty box with air,70,10,-28,1,,,,,,,
97222,Empty box with air,58,3,-31,1,,,,,,,
222145,WATER,50,1,-32,4,,,,,,,
222351,WATER,32,1,-37,4,,,,,,,
222556,WATER,26,1,-31,4,,,,,,,
222762,WATER,18,1,-31,4,,,,,,,
222967,WATER,6,2,-44,4,,,,,,,
223164,WATER,76,1,-26,4,,,,,,,
223370,WATER,70,1,-26,4,,,,,,,
223575,WATER,58,1,-30,4,,,,,,,
223781,WATER,50,2,-31,4,,,,,,,
223986,WATER,32,2,-36,4,,,,,,,
224192,WATER,26,1,-32,4,,,,,,,
224397,WATER,18,2,-30,4,,,,,,,
224603,WATER,6,1,-44,4,,,,,,,
224748,WATER,76,1,-44,4,,,,,,,
225005,WATER,70,1,-26,4,,,,,,,
225211,WATER,58,1,-30,4,,,,,,,
225417,WATER,50,2,-32,4,,,,,,,
225623,WATER,32,2,-36,4,,,,,,,
225829,WATER,26,1,-31,4,,,,,,,
226035,WATER,18,2,-31,4,,,,,,,
226240,WATER,6,1,-44,4,,,,,,,
226447,WATER,76,1,-26,4,,,,,,,
226653,WATER,70,1,-26,4,,,,,,,
226848,WATER,58,1,-30,4,,,,,,,
227053,WATER,50,1,-32,4,,,,,,,
